State,CWS_reg,Avg_Propensity_Score,medcaid_spending_per_enrollee_2010,dental_visit_past_year_rate_2011to2012,living_in_urban_area_percent_2010,education_rate_hs_2010,sweetBevIntake_onceOrMore_rate_2010and2015,unemployment_rate_2010,water_violations_per_100k,public_health_funding_dollars_per_capita_2010,smoking_rates_2009,alcohol_consumption_gallons_2010,dentistPer100k_per_MHIncome_ratio
Alabama,0,0.30647266080141494,5795,62.41,59.0,82.1,65.0,9.3,7.48,68,22.5,1.98,0.0010189257300983
Alaska,0,0.0022075165524121296,10666,61.1,66.0,91.0,44.5,8.0,634.04,63,20.6,3.03,0.0011586347869177
Arizona,0,0.3913649749295036,6411,64.97,89.8,85.6,64.5,10.4,43.66,10,16.1,2.39,0.0010895723353779
Arkansas,1,0.4848328531605067,6279,62.71,56.2,82.9,74.2,7.9,37.69,36,21.5,1.77,0.0010097371237632
California,1,0.40010315462207624,4700,64.08,95.0,80.7,62.7,12.4,5.15,66,12.9,2.16,0.0013159353989048
Colorado,0,0.217328168829243,7183,68.91,86.2,89.7,59.4,9.0,50.73,35,17.1,2.71,0.0012306183621359
Connecticut,1,0.382425907191798,9156,77.41,88.0,88.6,72.2,9.3,80.42,24,15.4,2.35,0.0011299037981009
Delaware,1,0.4808312037544166,6291,70.0,83.3,87.7,68.0,8.0,13.23,43,18.3,3.38,0.0007826740917148
Florida,0,0.39059814090796446,5535,57.76,91.2,85.5,67.2,11.3,14.82,22,17.1,2.53,0.0011054065617329
Georgia,1,0.5425422720441183,4924,65.28,75.1,84.3,68.1,10.2,12.25,13,17.7,1.98,0.0009732931294421
Hawaii,0,0.21130395594129,5837,69.15,91.9,89.9,76.4,6.8,0.14,171,15.4,2.48,0.0012468665714739
Idaho,0,0.06315585580768675,7660,69.99,70.6,88.3,58.8,8.7,136.1,77,16.3,2.17,0.0013412278684755
Illinois,1,0.38614761610424,6157,66.97,88.5,86.9,62.7,10.4,36.19,24,18.6,2.35,0.0011894963376878
