State,CWS_reg,gini_coefficient_2010,medcaid_spending_per_enrollee_2010,poverty_rate_2010,dental_visit_past_year_rate_2011to2012,living_in_urban_area_percent_2010,dentist_per_100k_2007,education_rate_hs_2010,education_rate_bachelor_2010,sweetBevIntake_onceOrMore_rate_2010and2015,unemployment_rate_2010,water_violations_per_100k,median_household_income_2010,public_health_funding_dollars_per_capita_2010,smoking_rates_2009,alcohol_consumption_gallons_2010
Alabama,0,0.47,5795,17.3,62.41,59.0,41.24,82.1,21.9,65.0,9.3,7.48,40474,68,22.5,1.98
Alaska,0,0.42,10666,12.4,61.1,66.0,74.82,91.0,27.9,44.5,8.0,634.04,64576,63,20.6,3.03
Arizona,0,0.46,6411,18.6,64.97,89.8,50.98,85.6,25.9,64.5,10.4,43.66,46789,10,16.1,2.39
Arkansas,1,0.46,6279,15.5,62.71,56.2,38.68,82.9,19.5,74.2,7.9,37.69,38307,36,21.5,1.77
California,1,0.47,4700,16.3,64.08,95.0,75.94,80.7,30.1,62.7,12.4,5.15,57708,66,12.9,2.16
Colorado,0,0.46,7183,12.2,68.91,86.2,66.51,89.7,36.4,59.4,9.0,50.73,54046,35,17.1,2.71
Connecticut,1,0.49,9156,8.3,77.41,88.0,72.35,88.6,35.5,72.2,9.3,80.42,64032,24,15.4,2.35
Delaware,1,0.44,6291,12.1,70.0,83.3,43.71,87.7,27.8,68.0,8.0,13.23,55847,43,18.3,3.38
Florida,0,0.47,5535,16.0,57.76,91.2,49.09,85.5,25.8,67.2,11.3,14.82,44409,22,17.1,2.53
Georgia,1,0.47,4924,18.7,65.28,75.1,45.19,84.3,27.3,68.1,10.2,12.25,46430,13,17.7,1.98
Hawaii,0,0.43,5837,12.1,69.15,91.9,78.59,89.9,29.5,76.4,6.8,0.14,63030,171,15.4,2.48
Idaho,0,0.43,7660,14.0,69.99,70.6,58.33,88.3,24.4,58.8,8.7,136.1,43490,77,16.3,2.17
Illinois,1,0.47,6157,14.1,66.97,88.5,63.01,86.9,30.8,62.7,10.4,36.19,52972,24,18.6,2.35
Indiana,0,0.44,6024,16.3,62.28,72.4,45.94,87.0,22.7,65.7,10.1,67.97,44613,13,23.1,2.03
Iowa,0,0.43,6597,10.3,67.29,64.0,51.11,90.6,24.9,50.5,6.3,26.71,47961,20,17.2,2.3
Kansas,0,0.45,7079,14.3,66.42,74.2,48.42,89.2,29.8,54.9,7.1,38.8,48257,15,17.8,1.95
Kentucky,1,0.47,6931,17.7,56.57,58.4,55.47,81.9,20.5,67.2,10.2,3.15,40062,46,25.6,1.83
Louisiana,1,0.48,6155,21.6,61.7,73.2,46.94,81.9,21.4,68.7,7.4,66.62,42505,47,22.1,2.55
Maine,0,0.44,6098,12.5,71.61,38.7,48.91,90.3,26.8,65.5,8.2,213.38,45815,30,17.3,2.56
Maryland,0,0.44,8198,10.8,68.53,87.2,70.33,88.1,36.1,65.4,7.8,6.48,68854,31,15.2,2.21
Massachusetts,0,0.48,11941,10.6,75.28,92.0,76.39,89.1,39.0,66.8,8.3,7.75,62072,57,15.0,2.5
Michigan,0,0.45,5549,15.5,69.84,74.6,59.25,88.7,25.2,59.0,12.7,50.72,45413,20,19.6,2.23
Minnesota,1,0.44,9747,10.5,70.77,73.3,60.09,91.8,31.8,50.4,7.4,9.55,55459,13,16.8,2.44
Mississippi,0,0.47,6430,22.7,53.4,49.3,39.44,81.0,19.5,64.5,10.5,38.13,36851,10,23.3,2.22
Missouri,0,0.46,8442,14.8,60.36,70.4,45.84,86.9,25.6,59.1,9.3,29.57,44301,8,23.1,2.41
Montana,0,0.44,9545,14.0,66.72,55.9,52.45,91.7,28.8,64.9,6.8,192.95,42666,26,16.8,2.98
Nebraska,1,0.43,8086,10.2,72.39,73.1,62.35,90.4,28.6,58.0,4.7,6.17,48408,40,16.7,2.28
Nevada,1,0.45,5229,16.4,58.76,94.2,48.4,84.7,21.7,63.8,13.8,11.53,51001,3,22.0,3.3
New Hampshire,0,0.43,9549,6.6,71.77,60.3,61.71,91.5,32.8,69.7,6.1,48.86,61042,17,15.8,4.5
New Jersey,0,0.46,10304,10.7,71.55,94.7,77.56,88.0,35.4,69.5,9.6,41.07,67681,31,15.8,2.35
New Mexico,0,0.46,5884,18.6,65.11,77.4,43.92,83.3,25.0,68.5,7.9,174.73,42090,56,17.9,2.28
New York,0,0.5,10108,16.0,70.88,87.9,75.29,84.9,32.5,65.6,8.6,27.76,54148,61,18.0,2.09
North Carolina,0,0.46,6525,17.4,63.19,66.1,45.09,84.7,26.5,62.7,10.8,27.56,43326,14,20.3,2.0
North Dakota,0,0.43,10456,12.2,60.82,59.9,49.17,90.3,27.6,59.2,3.8,25.54,48670,20,18.6,2.93
Ohio,1,0.45,7190,15.3,66.0,77.9,51.02,88.1,24.6,57.2,10.0,30.49,45090,15,20.3,2.02
Oklahoma,0,0.45,5841,16.3,58.95,66.2,49.11,86.2,22.9,66.0,6.9,135.86,42072,72,25.5,1.92
Oregon,0,0.45,7128,14.2,65.83,81.0,67.08,88.8,28.8,51.5,10.7,54.68,46560,16,17.9,2.51
Pennsylvania,0,0.46,8445,12.2,68.34,78.7,59.02,88.4,27.1,65.9,8.4,165.56,49288,15,20.2,2.3
Rhode Island,0,0.47,10660,13.6,75.43,90.7,53.15,83.5,30.2,65.7,11.7,22.14,52254,48,15.1,2.54
South Carolina,0,0.46,6264,17.0,64.36,66.3,45.27,84.1,24.5,70.2,11.2,3.83,42018,21,20.4,2.31
South Dakota,1,0.44,7004,13.2,66.64,56.7,49.01,89.6,26.3,72.5,5.1,34.17,45904,31,17.5,2.69
Tennessee,0,0.47,5721,16.7,60.67,66.4,48.67,83.6,23.1,66.4,9.8,9.71,41461,42,22.0,1.88
Texas,0,0.47,6638,18.4,60.44,84.7,45.43,80.7,25.9,62.5,8.2,81.07,48615,19,17.9,2.23
Utah,0,0.42,6340,10.0,65.9,90.6,64.25,90.6,29.3,53.6,8.1,24.91,54744,30,9.8,1.35
Vermont,0,0.44,7532,10.8,79.85,38.9,56.3,91.0,33.6,67.3,6.4,213.97,49406,75,17.1,2.8
Virginia,0,0.46,7134,10.7,70.89,75.5,57.45,86.5,34.2,59.6,7.1,14.92,60674,38,19.0,2.12
Washington,0,0.44,5855,11.5,66.75,84.0,67.72,89.8,31.1,55.0,9.9,50.71,55631,43,14.9,2.25
West Virginia,0,0.45,6890,16.9,57.78,48.7,45.75,83.2,17.5,59.4,8.4,473.32,38218,71,25.6,1.78
Wisconsin,0,0.43,5926,9.9,67.46,70.2,51.88,90.1,26.3,50.4,8.5,49.26,49001,9,18.8,2.94
Wyoming,0,0.42,7453,9.6,71.5,64.8,48.8,92.3,24.1,73.2,7.0,109.56,53512,58,19.9,2.66
