"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
State or DC
GeoFips,GeoName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00000,United States,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),45816,44204,44808,45956,46795,46357,47659,49394,49826,51004,52240,53662,56533,59110,56419,(NA)
01000,Alabama,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42242,41995,41757,41849,41617,41356,42010,43835,43577,44472,46441,47123,50207,52290,50053,(NA)
02000,Alaska,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),51624,50046,53121,54738,55069,53511,55466,56504,54409,54005,55410,56881,58532,57623,58069,(NA)
04000,Arizona,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38967,36641,37162,38384,39253,39171,40235,41903,42530,44250,45656,47219,50355,53694,50480,(NA)
05000,Arkansas,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40983,40970,40280,41286,43016,42407,44095,45429,45891,46835,48479,48268,51209,53390,52430,(NA)
06000,California,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),43801,42404,43519,44858,46170,45839,47491,50074,51845,52604,53481,55915,60011,63271,59103,(NA)
08000,Colorado,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),46677,44290,44902,45642,46712,47730,50254,51326,50932,52739,56587,57850,59863,64282,63875,(NA)
09000,Connecticut,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),61514,60539,63476,62986,62599,60177,62124,63350,64059,64665,68093,69110,70544,72206,67254,(NA)
10000,Delaware,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),45923,45268,44779,47058,46587,46599,46908,49657,49888,50850,52109,52615,55233,55553,55709,(NA)
11000,District of Columbia,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),60529,59777,61216,63314,63983,61685,63564,67849,70215,72416,72433,74097,77515,80287,73383,(NA)
12000,Florida,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),43264,41222,42760,43276,43193,42278,43817,45696,46131,48133,49932,52072,53888,57193,54746,(NA)
13000,Georgia,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42027,41967,40688,42371,41428,41342,42966,45162,45910,47164,48286,49770,52197,53954,50954,(NA)
