YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2018,2018,NV,Nevada,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,%,Age-adjusted Prevalence,14.3,14.3,,11.1,18.3,Overall,Overall,POINT (-117.07184056399967 39.493240390000494),32,AGEADJPREV,OVERALL,OVR
2017,2017,NY,New York,BRFSS,Overarching Conditions,Prevalence of sufficient sleep among adults aged >= 18 years,%,Age-adjusted Prevalence,,,No data available,,,Overall,Overall,POINT (-75.54397042699964 42.82700103200045),36,AGEADJPREV,OVERALL,OVR
2012,2012,OH,Ohio,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,%,Age-adjusted Prevalence,62.9,62.9,,61.6,64.2,Overall,Overall,POINT (-82.40426005599966 40.06021014100048),39,AGEADJPREV,OVERALL,OVR
2012,2012,OH,Ohio,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,%,Age-adjusted Prevalence,20.4,20.4,,18.5,22.4,Overall,Overall,POINT (-82.40426005599966 40.06021014100048),39,AGEADJPREV,OVERALL,OVR
2012,2012,OH,Ohio,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,23.8,23.8,,22.7,25,Overall,Overall,POINT (-82.40426005599966 40.06021014100048),39,AGEADJPREV,OVERALL,OVR
2018,2018,NE,Nebraska,BRFSS,Overarching Conditions,Prevalence of sufficient sleep among adults aged >= 18 years,%,Age-adjusted Prevalence,65.9,65.9,,64.7,67.1,Overall,Overall,POINT (-99.36572062299967 41.6410409880005),31,AGEADJPREV,OVERALL,OVR
2012,2012,OH,Ohio,BRFSS,Overarching Conditions,Prevalence of sufficient sleep among adults aged >= 18 years,%,Age-adjusted Prevalence,,,No data available,,,Overall,Overall,POINT (-82.40426005599966 40.06021014100048),39,AGEADJPREV,OVERALL,OVR
2020,2020,OH,Ohio,BRFSS,Overarching Conditions,Prevalence of sufficient sleep among adults aged >= 18 years,%,Age-adjusted Prevalence,61.8,61.8,,60.5,63,Overall,Overall,POINT (-82.40426005599966 40.06021014100048),39,AGEADJPREV,OVERALL,OVR
2013,2013,OR,Oregon,BRFSS,Overarching Conditions,Prevalence of sufficient sleep among adults aged >= 18 years,%,Age-adjusted Prevalence,66.8,66.8,,65,68.6,Overall,Overall,POINT (-120.15503132599969 44.56744942400047),41,AGEADJPREV,OVERALL,OVR
2012,2012,OK,Oklahoma,BRFSS,Overarching Conditions,Prevalence of sufficient sleep among adults aged >= 18 years,%,Age-adjusted Prevalence,,,No data available,,,Overall,Overall,POINT (-97.52107021399968 35.47203135600046),40,AGEADJPREV,OVERALL,OVR
2018,2018,NE,Nebraska,BRFSS,Oral Health,Visits to dentist or dental clinic among adults aged >= 18 years,%,Age-adjusted Prevalence,67.6,67.6,,66.3,68.8,Overall,Overall,POINT (-99.36572062299967 41.6410409880005),31,AGEADJPREV,OVERALL,OVR
2012,2012,PA,Pennsylvania,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,%,Age-adjusted Prevalence,18.2,18.2,,16.8,19.7,Overall,Overall,POINT (-77.86070029399963 40.79373015200048),42,AGEADJPREV,OVERALL,OVR
2016,2016,NE,Nebraska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Age-adjusted Prevalence,32.1,32.1,,30.9,33.4,Overall,Overall,POINT (-99.36572062299967 41.6410409880005),31,AGEADJPREV,OVERALL,OVR
2012,2012,NE,Nebraska,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,%,Age-adjusted Prevalence,13.4,13.4,,12.3,14.6,Overall,Overall,POINT (-99.36572062299967 41.6410409880005),31,AGEADJPREV,OVERALL,OVR
2014,2014,PR,Puerto Rico,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,11.7,11.7,,10.6,12.9,Overall,Overall,POINT (-66.590149 18.220833),72,AGEADJPREV,OVERALL,OVR
2017,2017,RI,Rhode Island,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,15.6,15.6,,14,17.3,Overall,Overall,POINT (-71.52247031399963 41.70828019300046),44,AGEADJPREV,OVERALL,OVR
2021,2021,FL,Florida,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Age-adjusted Prevalence,,,No data available,,,Overall,Overall,POINT (-81.92896053899966 28.932040377000476),12,AGEADJPREV,OVERALL,OVR
2016,2016,IL,Illinois,BRFSS,Oral Health,Visits to dentist or dental clinic among adults aged >= 18 years,%,Age-adjusted Prevalence,65.4,65.4,,63.6,67.2,Overall,Overall,POINT (-88.99771017799969 40.48501028300046),17,AGEADJPREV,OVERALL,OVR
2019,2019,NE,Nebraska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Age-adjusted Prevalence,34.3,34.3,,33.2,35.5,Overall,Overall,POINT (-99.36572062299967 41.6410409880005),31,AGEADJPREV,OVERALL,OVR
2016,2016,KY,Kentucky,BRFSS,Oral Health,Visits to dentist or dental clinic among adults aged >= 18 years,%,Age-adjusted Prevalence,62.1,62.1,,60.6,63.7,Overall,Overall,POINT (-84.77497104799966 37.645970271000465),21,AGEADJPREV,OVERALL,OVR
2014,2014,MT,Montana,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,20.9,20.9,,19.3,22.5,Overall,Overall,POINT (-109.42442064499971 47.06652897200047),30,AGEADJPREV,OVERALL,OVR
2012,2012,SD,South Dakota,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,%,Age-adjusted Prevalence,64.9,64.9,,63,66.7,Overall,Overall,POINT (-100.3735306369997 44.353130053000484),46,AGEADJPREV,OVERALL,OVR
2016,2016,SD,South Dakota,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,%,Age-adjusted Prevalence,16.2,16.2,,13.1,19.9,Overall,Overall,POINT (-100.3735306369997 44.353130053000484),46,AGEADJPREV,OVERALL,OVR
2011,2011,ND,North Dakota,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Age-adjusted Prevalence,28.9,28.9,,27.3,30.5,Overall,Overall,POINT (-100.11842104899966 47.47531977900047),38,AGEADJPREV,OVERALL,OVR
